Date,Close
3/15/2019,134.12
3/18/2019,134.04
3/19/2019,134.35
3/20/2019,133.36
3/21/2019,136.15
3/22/2019,134
3/25/2019,132.9
3/26/2019,134.69
3/27/2019,133.99
3/28/2019,135.15
3/29/2019,136.52
4/1/2019,138.66
4/2/2019,138.8
4/3/2019,137.8
4/4/2019,135.69
4/5/2019,136.9
4/8/2019,136.63
4/9/2019,136.68
4/10/2019,137.05
4/11/2019,137.07
4/12/2019,139.14
4/15/2019,138.31
4/16/2019,138.82
4/17/2019,138.64
4/18/2019,139.67
4/22/2019,140.58
4/23/2019,143.71
4/24/2019,142.89
4/25/2019,143.43
4/26/2019,144.89
4/29/2019,145.38
4/30/2019,146.07
5/1/2019,144.08
5/2/2019,144.33
5/3/2019,145.9
5/6/2019,147.32
5/7/2019,144.2
5/8/2019,145.09
5/9/2019,146.07
5/10/2019,146.89
5/13/2019,143.6
5/14/2019,146.79
5/15/2019,148.22
5/16/2019,151.4
5/17/2019,149.81
5/20/2019,148.54
5/21/2019,150.49
5/22/2019,150.62
5/23/2019,147.96
5/24/2019,153.44
5/28/2019,148.87
5/29/2019,147.67
5/30/2019,152.93
5/31/2019,154.04
6/3/2019,148.87
6/4/2019,153.18
6/5/2019,157.08
6/6/2019,157.8
6/7/2019,160.91
6/10/2019,160.45
6/11/2019,158.94
6/12/2019,158.7
6/13/2019,158.17
6/14/2019,158.81
6/17/2019,159.82
6/18/2019,158.79
6/19/2019,160.9
6/20/2019,161.76
6/21/2019,161.04
6/24/2019,160.18
6/25/2019,157.82
6/26/2019,158.64
6/27/2019,159.73
6/28/2019,160.13
7/1/2019,162.65
7/2/2019,162.03
7/3/2019,162.99
7/5/2019,162.49
7/8/2019,163
7/9/2019,164.78
7/10/2019,163.88
7/11/2019,164.13
7/12/2019,164.22
7/15/2019,165.94
7/16/2019,164.73
7/17/2019,165.1
7/18/2019,167.32
7/19/2019,164.73
7/22/2019,163.21
7/23/2019,164.69
7/24/2019,161.89
7/25/2019,165.33
7/26/2019,169.64
7/29/2019,171.45
7/30/2019,167.36
7/31/2019,167.92
8/1/2019,164.9
8/2/2019,161.48
8/5/2019,153.58
8/6/2019,154.41
8/7/2019,157.87
8/8/2019,160.38
8/9/2019,160.07
8/12/2019,156.14
8/13/2019,158.79
8/14/2019,153.95
8/15/2019,156.33
8/16/2019,157.75
8/19/2019,159.48
8/20/2019,161.16
8/21/2019,162.59
8/22/2019,162.27
8/23/2019,158.01
8/26/2019,160.02
8/27/2019,162.22
8/28/2019,163.43
8/29/2019,165.6
8/30/2019,165.98
9/3/2019,167.25
9/4/2019,169.85
9/5/2019,174.84
9/6/2019,174.37
9/9/2019,170.8
9/10/2019,165.26
9/11/2019,165.65
9/12/2019,168.03
9/13/2019,167.52
9/16/2019,166.08
9/17/2019,163.74
9/18/2019,164.35
9/19/2019,162.68
9/20/2019,161.62
9/23/2019,159.66
9/24/2019,160.58
9/25/2019,160.59
9/26/2019,160.02
9/27/2019,156.84
9/30/2019,159
10/1/2019,158.12
10/2/2019,156.77
10/3/2019,158.56
10/4/2019,160.84
10/7/2019,160.2
10/8/2019,157.52
10/9/2019,161.09
10/10/2019,161.14
10/11/2019,162.92
10/14/2019,164.14
10/15/2019,164.86
10/16/2019,164.77
10/17/2019,163.24
10/18/2019,160.13
10/21/2019,161.35
10/22/2019,155.13
10/23/2019,156.27
10/24/2019,161.24
10/25/2019,161.34
10/28/2019,162.2
10/29/2019,163.2
10/30/2019,165.54
10/31/2019,169.18
11/1/2019,172.35
11/4/2019,169.27
11/5/2019,166.53
11/6/2019,167.06
11/7/2019,168.99
11/8/2019,170.26
11/11/2019,171.99
11/12/2019,171.86
11/13/2019,173.58
11/14/2019,177.5
11/15/2019,179.23
11/18/2019,179.63
11/19/2019,181.72
11/20/2019,180.51
11/21/2019,178.39
11/22/2019,178.65
11/25/2019,179.65
11/26/2019,180.52
11/27/2019,181.06
11/29/2019,181.1
12/2/2019,178.07
12/3/2019,177.42
12/4/2019,175.97
12/5/2019,176.92
12/6/2019,176.66
